Id,Course,Attn_Date,Attn_Hours
636395,AdClassSched_48762,2/7/2020,60
636395,AdClassSched_48762,2/13/2020,60
636395,AdClassSched_48762,1/22/2020,60
629326,AdClassSched_56630,2/20/2020,60
629326,AdClassSched_56630,1/28/2020,60
629326,AdClassSched_56630,1/22/2020,60
629326,AdClassSched_56630,2/11/2020,60
629326,AdClassSched_56630,2/4/2020,60
635514,AdClassSched_48762,2/17/2020,60
635514,AdClassSched_48762,1/30/2020,60
635514,AdClassSched_48762,2/24/2020,60
635514,AdClassSched_48762,2/6/2020,60
635514,AdClassSched_48762,2/10/2020,60
635514,AdClassSched_48762,1/21/2020,60
507977,AdClassSched_49277,2/11/2020,60
507977,AdClassSched_49277,1/27/2020,60
507977,AdClassSched_49277,2/19/2020,60
507977,AdClassSched_49277,2/4/2020,60
640344,AdClassSched_56634,2/6/2020,60
640344,AdClassSched_56634,2/11/2020,60
640344,AdClassSched_56634,1/28/2020,60
640344,AdClassSched_56634,2/25/2020,60
640344,AdClassSched_56634,2/23/2020,60
636620,AdClassSched_48762,2/11/2020,60
506314,AdClassSched_49278,2/10/2020,60
506314,AdClassSched_49278,1/24/2020,60
506314,AdClassSched_49278,2/24/2020,60
506314,AdClassSched_49278,1/28/2020,60
506314,AdClassSched_49278,2/17/2020,60
506314,AdClassSched_49278,2/7/2020,60
609420,AdClassSched_49334,2/11/2020,60
609420,AdClassSched_49334,2/24/2020,60
609420,AdClassSched_49334,2/5/2020,60
609420,AdClassSched_49334,2/18/2020,60
609420,AdClassSched_49334,1/15/2020,60
512494,AdClassSched_56642,1/22/2020,60
512494,AdClassSched_56642,1/27/2020,60
512494,AdClassSched_56642,1/14/2020,60
512494,AdClassSched_56642,2/17/2020,60
512494,AdClassSched_56642,2/4/2020,60
512494,AdClassSched_56642,2/10/2020,60
632749,AdClassSched_48762,2/19/2020,60
632749,AdClassSched_48762,2/2/2020,60
632749,AdClassSched_48762,2/11/2020,60
632749,AdClassSched_48762,1/21/2020,60
618541,AdClassSched_49278,2/17/2020,60
623479,AdClassSched_49335,2/10/2020,60
623479,AdClassSched_49335,2/9/2020,60
623479,AdClassSched_49335,2/21/2020,60
623479,AdClassSched_49335,1/24/2020,60
623479,AdClassSched_49335,1/14/2020,60
623479,AdClassSched_49335,1/27/2020,60
623883,AdClassSched_56644,1/21/2020,60
623883,AdClassSched_56644,1/31/2020,60
623883,AdClassSched_56644,2/23/2020,60
623883,AdClassSched_56644,2/5/2020,60
623883,AdClassSched_56644,2/10/2020,60
638847,AdClassSched_49278,2/11/2020,60
638847,AdClassSched_49278,1/27/2020,60
643224,AdClassSched_48860,2/3/2020,60
643224,AdClassSched_48860,1/21/2020,60
643224,AdClassSched_48860,2/10/2020,60
643224,AdClassSched_48860,2/24/2020,60
643224,AdClassSched_48860,1/13/2020,60
643224,AdClassSched_48860,1/28/2020,60
643224,AdClassSched_48860,2/18/2020,60
623672,AdClassSched_49338,2/11/2020,60
623672,AdClassSched_49338,2/3/2020,60
623672,AdClassSched_49338,2/18/2020,60
623672,AdClassSched_49338,1/28/2020,60
637469,AdClassSched_56761,1/23/2020,60
637469,AdClassSched_56761,2/18/2020,60
637469,AdClassSched_56761,2/11/2020,60
637469,AdClassSched_56761,1/15/2020,60
637469,AdClassSched_56761,1/30/2020,60
637610,AdClassSched_48860,2/4/2020,60
637610,AdClassSched_48860,1/23/2020,60
637610,AdClassSched_48860,2/10/2020,60
637610,AdClassSched_48860,1/15/2020,60
637610,AdClassSched_48860,1/30/2020,60
637610,AdClassSched_48860,2/17/2020,60
631780,AdClassSched_49279,2/14/2020,60
